Time(ms),AccX(0)[G],AccY(0)[G],AccZ(0)[G],GyrX(0)[deg/s],GyrY(0)[deg/s],GyrZ(0)[deg/s],MagX(0)[uT],MagY(0)[uT],MagZ(0)[uT],Roll(0)[deg],Pitch(0)[deg],Yaw(0)[deg],Qw(0),Qx(0),Qy(0),Qz(0),
0.000000,0.909,-0.181,-0.066,3.80,1.80,1.10,-22.30,-30.30,28.50,-109.65,-74.05,-110.26,0.141,0.658,-0.337,0.659,
0.000000,0.943,-0.300,-0.102,-3.60,-2.80,-0.40,-22.30,-30.30,28.50,-109.75,-74.02,-110.19,0.141,0.658,-0.337,0.659,
0.000000,0.974,-0.332,-0.138,-9.30,-2.30,-1.00,-19.40,-30.60,28.40,-110.13,-74.02,-109.96,0.142,0.658,-0.338,0.658,
0.000000,0.967,-0.268,-0.110,-4.30,2.30,0.80,-19.50,-30.70,28.10,-110.18,-74.02,-110.05,0.143,0.658,-0.339,0.657,
0.000000,0.920,-0.224,-0.055,4.10,3.30,2.10,-21.20,-30.60,28.00,-109.80,-74.02,-110.39,0.142,0.657,-0.339,0.658,
0.000000,0.928,-0.224,-0.071,3.30,0.00,1.20,-20.90,-30.70,27.90,-109.61,-74.00,-110.50,0.142,0.657,-0.338,0.659,
0.000000,0.936,-0.244,-0.082,-5.10,-1.90,-0.50,-21.10,-30.60,28.20,-109.72,-74.01,-110.44,0.142,0.657,-0.339,0.658,
0.000000,0.967,-0.284,-0.079,-9.30,-0.20,-1.00,-20.70,-30.80,28.30,-109.98,-74.02,-110.35,0.143,0.657,-0.340,0.658,
0.000000,0.904,-0.220,-0.093,-4.80,1.10,0.30,-20.40,-30.60,28.30,-110.03,-74.03,-110.42,0.144,0.657,-0.340,0.657,
0.000000,0.924,-0.244,-0.074,-3.60,-1.10,0.70,-21.10,-30.80,28.20,-110.07,-74.02,-110.46,0.144,0.657,-0.341,0.657,
0.000000,0.967,-0.253,-0.079,-3.10,-2.00,0.00,-20.80,-31.60,28.10,-110.26,-74.00,-110.33,0.144,0.657,-0.341,0.657,
0.000000,0.904,-0.216,-0.093,-8.50,-2.60,-0.30,-21.30,-31.20,28.50,-110.54,-74.00,-110.17,0.145,0.657,-0.342,0.656,
0.000000,0.928,-0.244,-0.121,-16.90,-2.40,-1.50,-20.70,-31.20,28.40,-111.06,-74.00,-109.95,0.147,0.657,-0.344,0.655,
0.000000,0.967,-0.276,-0.091,-11.80,2.10,-1.90,-21.20,-31.50,28.60,-111.32,-74.05,-109.96,0.149,0.656,-0.345,0.654,
0.000000,0.906,-0.094,-0.031,-4.70,3.30,0.50,-21.00,-31.20,28.30,-111.14,-74.13,-110.28,0.150,0.656,-0.345,0.654,
0.000000,0.894,-0.046,-0.051,-8.00,1.20,-0.40,-20.80,-31.30,28.30,-111.15,-74.14,-110.40,0.151,0.655,-0.346,0.654,
0.000000,0.928,-0.197,-0.129,-10.80,2.10,-8.00,-20.50,-31.60,28.60,-111.48,-74.28,-110.28,0.153,0.655,-0.346,0.653,
0.000000,0.921,-0.165,-0.024,-4.60,6.00,-12.80,-21.10,-31.70,28.50,-111.59,-74.55,-110.31,0.155,0.655,-0.346,0.653,
0.000000,0.890,-0.034,-0.043,-2.80,5.30,-9.60,-21.50,-32.30,28.50,-111.52,-74.79,-110.43,0.157,0.655,-0.344,0.654,
0.000000,0.903,0.016,-0.090,-9.50,0.60,-9.10,-21.10,-32.40,28.40,-111.80,-74.96,-110.30,0.159,0.655,-0.344,0.653,
0.000000,0.933,-0.138,-0.059,-7.00,1.80,-17.10,-20.80,-32.70,28.30,-112.31,-75.25,-109.95,0.162,0.656,-0.344,0.652,
0.000000,0.929,-0.094,-0.071,-1.80,5.90,-23.30,-21.10,-32.80,27.80,-112.71,-75.82,-109.60,0.166,0.657,-0.341,0.652,
0.000000,0.930,-0.058,-0.051,4.60,8.30,-24.10,-21.00,-32.60,27.80,-112.82,-76.32,-109.43,0.169,0.657,-0.337,0.652,
0.000000,0.909,-0.125,-0.059,11.10,10.70,-25.10,-21.50,-32.90,27.30,-112.64,-76.86,-109.41,0.171,0.658,-0.333,0.653,
0.000000,0.981,-0.083,-0.018,12.20,12.10,-27.30,-21.80,-33.30,26.70,-112.35,-77.48,-109.46,0.174,0.659,-0.328,0.655,
0.000000,0.981,-0.071,-0.053,9.40,10.20,-27.90,-21.60,-33.90,26.30,-112.17,-78.08,-109.43,0.176,0.659,-0.323,0.656,
0.000000,0.948,-0.177,-0.095,0.90,5.90,-31.70,-21.30,-34.20,25.90,-112.75,-78.68,-108.78,0.180,0.660,-0.319,0.656,
0.000000,0.963,-0.288,-0.091,1.10,8.20,-35.30,-21.80,-35.00,25.50,-113.46,-79.37,-108.05,0.184,0.661,-0.315,0.655,
0.000000,0.984,-0.126,-0.037,7.90,12.30,-32.70,-21.80,-35.50,25.10,-113.65,-80.08,-107.73,0.188,0.662,-0.310,0.656,
0.000000,0.985,-0.051,-0.041,5.80,9.60,-27.10,-21.70,-36.00,24.80,-113.76,-80.79,-107.47,0.192,0.663,-0.305,0.657,
0.000000,0.984,-0.138,-0.076,0.60,5.80,-27.80,-21.80,-36.10,24.90,-114.38,-81.34,-106.82,0.195,0.664,-0.301,0.656,
0.000000,0.973,-0.055,-0.029,6.00,6.70,-29.70,-21.70,-36.70,24.60,-115.19,-82.06,-105.91,0.199,0.664,-0.296,0.657,
0.000000,0.989,-0.055,-0.034,9.50,9.10,-29.60,-21.80,-37.10,24.40,-115.75,-82.67,-105.16,0.202,0.665,-0.292,0.657,
0.000000,1.023,-0.163,-0.065,5.40,11.10,-31.40,-21.70,-37.80,24.20,-116.27,-83.32,-104.51,0.205,0.666,-0.287,0.657,
0.000000,1.020,-0.099,-0.042,5.70,12.20,-31.30,-21.80,-38.50,24.00,-116.48,-83.97,-104.18,0.208,0.666,-0.282,0.658,
0.000000,0.985,0.011,-0.014,6.80,9.40,-27.90,-21.60,-38.70,23.60,-117.08,-84.58,-103.45,0.211,0.667,-0.278,0.659,
0.000000,1.004,-0.048,-0.061,3.90,7.00,-29.30,-21.70,-39.20,23.90,-118.69,-85.17,-101.73,0.215,0.667,-0.274,0.659,
0.000000,1.008,-0.131,-0.050,4.00,8.80,-33.90,-21.50,-39.90,23.50,-120.97,-85.82,-99.37,0.218,0.668,-0.269,0.658,
0.000000,0.977,-0.079,-0.025,7.50,10.00,-32.20,-21.20,-40.00,23.50,-123.63,-86.49,-96.57,0.222,0.669,-0.264,0.659,
0.000000,1.002,0.054,0.031,10.70,10.40,-27.50,-21.50,-40.50,23.20,-126.08,-87.09,-93.92,0.225,0.669,-0.259,0.659,
0.000000,1.002,0.106,0.011,9.00,10.50,-26.80,-20.90,-41.20,22.80,-129.28,-87.64,-90.52,0.227,0.670,-0.254,0.660,
0.000000,0.997,-0.008,-0.046,-0.10,8.00,-31.70,-20.90,-41.80,22.80,-137.87,-88.20,-81.87,0.231,0.670,-0.250,0.660,
0.000000,0.977,0.011,-0.006,0.30,7.80,-35.20,-20.90,-42.30,23.10,-156.59,-88.71,-63.17,0.235,0.671,-0.246,0.659,
0.000000,0.994,0.062,0.016,7.30,9.30,-34.70,-20.50,-42.80,22.60,169.49,-88.98,-29.12,0.239,0.671,-0.241,0.659,
0.000000,1.021,0.050,0.000,6.50,9.50,-34.90,-20.80,-43.20,22.60,128.07,-88.75,12.45,0.243,0.672,-0.235,0.659,
0.000000,1.005,0.058,-0.007,2.60,9.00,-36.60,-20.60,-43.60,21.70,109.01,-88.19,31.59,0.247,0.673,-0.230,0.659,
0.000000,0.990,0.106,0.004,2.90,6.30,-35.60,-20.40,-44.20,21.90,99.76,-87.47,40.89,0.252,0.673,-0.224,0.658,
0.000000,0.979,0.141,0.008,5.70,5.10,-34.40,-19.80,-44.50,22.10,95.89,-86.80,44.87,0.255,0.674,-0.219,0.657,
0.000000,1.033,0.066,0.007,3.40,6.10,-36.50,-19.90,-45.10,22.10,93.21,-86.09,47.64,0.259,0.675,-0.215,0.657,
0.000000,1.025,0.070,0.000,1.50,7.50,-38.70,-19.10,-45.30,21.90,90.90,-85.33,49.99,0.263,0.676,-0.209,0.656,
